// thermometer calibration file for gonzo and waldorf

//format: chebychev polynomial coefficients
//begin-cheb [therm serial #]
//[log or lin - do you take the log of the R value first?]
//ZL
//ZU [see calibration documentation]
//poly order	coeff value
//end-cheb [therm serial #]

//format: lookup table
//begin-look [therm serial #]
//R(ascending)	T
//end-look [therm serial #]

begin-look ca04
125	337.3
end-look 501

begin-cheb 541
log
2.77496538825997
4.23313950306661
0	5.52414430322911E+00
1	-6.35105888253862E+00
2	2.80817047779371E+00
3	-1.02558569412694E+00
4	3.13631235667517E-01
5	-7.64782534262534E-02
6	1.27117355409322E-02
7	-1.75671286772389E-05
8	-1.65183340927893E-03
end-cheb 541

begin-cheb 541
log
2.17690750081818
2.87528086209212
0	4.21168650444811E+01
1	-3.77500905981964E+01
2	8.90902115558674E+00
3	-1.32279205171088E+00
4	1.67149121118649E-01
5	-1.27882092115222E-02
6	-5.28630149649330E-03
7	1.72394405837838E-03
8	-6.06712200343263E-04
9	1.21964580052063E-03
end-cheb 541

begin-cheb 541
log
1.70542728135121
2.26585099346165
0	1.75752206342852E+02
1	-1.26123666174098E+02
2	2.37599378847542E+01
3	-3.69006378605555E+00
4	7.34246587805077E-01
5	-1.58870388351061E-01
6	2.92748799233255E-02
7	-9.16391830629057E-03
8	3.34457009871464E-03
end-cheb 541


begin-cheb x94607
log
2.10677877891
2.6273406389
0	5.915720
1	-6.681346
2	2.588783
3	-0.779390
4	0.181984
5	-0.028419
6	0.000023
7	0.002079
end-cheb x94607

begin-cheb x94607
log
1.80340371002
2.15007906603
0 	43.672417
1 	-38.324991
2 	7.469670
3 	-0.692912
4 	0.082289
5 	0.001429
6 	-0.009698
7 	-0.001858
8 	0.002140
end-cheb x94607

begin-cheb x94607
log
1.50020692026
1.8540134995
0 	179.325030
1 	-127.187707
2 	20.290171
3 	-2.650761
4 	0.576880
5 	-0.102443
6 	0.014211
7 	-0.005197
end-cheb x94607


begin-cheb x94606
log
2.08400103104
2.58648014733
0 	5.935287
1 	-6.695829
2 	2.575651 
3 	-0.766518 
4 	0.176140 
5 	-0.026502 
6 	-0.000512 
7 	0.002160 
8 	-0.001053 
end-cheb x94606

begin-cheb x94606
log
1.78659369323
